@relation parar

@attribute Direccion(x) numeric
@attribute Direccion(y) numeric
@attribute Direccion(z) numeric
@attribute Distancia numeric
@attribute Tiempo numeric
@attribute TipoDePase {alto,bajo}
@attribute Fuerza numeric

@data
-0.999955,-0.009493,-0.000001,42.815109,0.427919,bajo,0
-0.999937,-0.011262,-0.000002,36.177475,0.600437,bajo,0
-0.999509,0.031271,-0.001969,40.245327,0.458082,alto,0
1,-0.000131,-0.000001,13.551524,1.185946,bajo,0
-0.999959,-0.009056,-0.000011,2.041382,1.433167,bajo,0
-0.82669,0.562658,0,1.955317,0.739375,alto,0
-0.988079,0.153948,0,7.589341,0.629338,alto,0
1,-0.00029,0.000052,13.082979,0.957847,alto,0
0.999999,-0.00171,0,11.698269,0.976328,alto,0
0.937877,-0.346967,0,1.05566,0.793462,alto,0
-0.999992,-0.0039,0,5.127763,1.260606,alto,0
0.149469,0.988766,0.000013,2.434199,0.534563,alto,0
0.118169,0.992993,0,1.781053,0.265721,alto,0
-0.880911,0.473281,0,1.288552,0.849369,alto,0
-0.970278,0.241992,0,2.183694,0.80445,alto,0
0.999099,0.042431,-0.000245,1.247309,0.432496,bajo,0
-0.846322,0.532672,0.000031,0.745966,0.902133,alto,0
0.999999,-0.000979,-0.000002,8.8483,1.443675,alto,0
-0.999987,-0.00506,0,3.69947,0.799332,bajo,0
0.999684,0.025131,0,10.295628,0.838701,alto,0
1,-0.000119,0.000001,11.965189,1.189448,bajo,0
0.047832,0.998855,0,75.036766,1.381745,bajo,0
0.999998,-0.001959,0,10.169777,1.720661,bajo,0
-0.999439,-0.033493,-0.000013,0.594783,1.062296,bajo,0
-0.998176,-0.060331,0.002202,1.659247,1.821618,alto,0
-0.99996,-0.008972,0,2.228831,0.989831,alto,0
-0.999999,-0.001701,0,11.75877,1.096448,bajo,0
-0.999753,-0.022239,0,10.85348,0.863467,bajo,0
0.999985,-0.005429,0,3.683792,1.237179,bajo,0
0.999029,-0.043969,-0.002662,2.310452,1.141278,alto,0
1,-0.000238,0.000201,12.954414,0.937014,alto,0
0.99881,-0.048745,-0.001611,11.395024,1.09892,alto,0
-0.99062,0.136643,0.000002,7.618061,0.270501,alto,0
0.977766,-0.209698,-0.000012,68.126328,0.208527,bajo,0
-0.999995,-0.003047,-0.000006,6.326282,0.954868,alto,0
0.999991,-0.004206,-0.000002,3.935272,1.56643,alto,0
-1,-0.00036,-0.000005,7.865332,1.409881,alto,0
-0.999998,-0.00179,0,11.175456,0.962387,alto,0
-0.999999,-0.00179,0,11.175423,1.408137,bajo,0
-0.999055,-0.043465,0,12.597821,1.277128,bajo,0
-0.999998,-0.001819,0,10.919442,1.385639,alto,0
-0.927021,0.375009,0.000002,3.076893,0.721317,alto,0
-0.999794,-0.020302,-0.000001,10.668877,0.977007,bajo,0
-0.999996,-0.002805,0,2.452958,0.432765,bajo,0
-0.983605,0.180334,0,8.798066,0.476517,alto,0
-0.999479,0.032277,0.000024,6.592672,0.68229,alto,0
-0.993218,-0.116263,0.000131,5.902491,0.587291,bajo,0
0.825793,0.563973,0.000256,1.850406,0.346529,alto,0
-0.993052,0.117677,0.000091,4.289734,0.355768,alto,0
0.879594,-0.475726,0.000083,4.328848,0.323465,bajo,0
0.010104,-0.999949,0.000157,2.136047,0.31709,bajo,0
0.9936,0.112957,0.000296,1.081744,0.861299,alto,0
-1,-0.000741,0.000014,1.64123,1.0312,alto,0
-0.963311,0.268389,0,4.512372,0.200143,alto,0
0.999912,-0.013292,0,1.490959,0.200073,bajo,0
-0.999994,-0.003346,0,3.866718,0.236182,bajo,0
0.999997,-0.002369,0,8.45935,1.466914,bajo,0
1,-0.000178,0.000007,6.520669,0.59804,bajo,0
-0.999996,-0.002914,-0.000008,6.819012,1.607781,bajo,0
0.99999,-0.004588,-0.000014,2.681039,1.344684,alto,0
1,-0.000974,-0.000004,12.484923,0.924831,alto,0
0.99595,-0.089903,-0.001103,2.724607,1.346758,alto,0
-0.81283,-0.582501,-0.00002,10.489379,0.798796,bajo,0
-0.92694,-0.375209,-0.00002,16.296825,0.753347,bajo,0
-0.964444,-0.264286,-0.000485,17.93306,0.800314,alto,0
0.999599,-0.02832,-0.00001,34.3036,1.410332,bajo,0
0.999603,-0.028159,-0.000015,34.360794,1.410564,bajo,0
0.999701,-0.024433,-0.000383,34.000973,0.992307,bajo,0
-0.943116,-0.332463,0.000026,8.176984,0.502705,alto,0
-0.999998,-0.002226,0.000003,6.023529,0.847486,bajo,0
-0.991797,0.127827,-0.000007,6.887213,0.536628,alto,0
0.999996,0.002893,-0.000042,12.437186,1.235384,alto,0
-0.999999,-0.001614,0,12.392669,1.133672,bajo,0
0.999986,-0.005369,0,3.725209,1.372381,bajo,0
0.999999,-0.001207,-0.000009,7.244559,0.936554,alto,0
-0.999999,-0.001425,-0.00001,2.227984,1.569855,alto,0
-0.999999,-0.001651,-0.000044,11.82153,2.113809,bajo,0
0.999961,-0.008834,-0.000016,1.928179,0.981709,bajo,0
0.999999,-0.001529,-0.000003,11.241644,1.319773,bajo,0
0.921737,-0.387815,-0.000744,0.451036,1.485157,alto,0
0.999121,-0.041928,0.000112,10.045583,1.014456,alto,0
0.798723,-0.601698,0.000979,1.052018,1.039881,alto,0
0.996131,-0.087878,0.000108,9.324124,0.923087,alto,0
-0.999993,-0.003768,0,5.30774,0.562484,bajo,0
-1,-0.000254,-0.000003,7.268768,1.8832,bajo,0
-1,-0.000275,-0.000005,6.485464,2.139503,alto,0
0.915599,-0.402092,0.000159,0.048041,1.069425,alto,0
1,-0.000355,0.000004,7.299801,0.466478,bajo,0
1,-0.000741,0.000007,11.287474,1.128372,alto,0
0.999725,0.023446,0.000002,11.610676,0.851731,alto,0
0.999999,-0.001663,0,12.025619,1.39806,bajo,0
0.999999,-0.001373,-0.000001,10.338495,1.146644,bajo,0
0.999998,-0.002204,-0.000021,2.932734,1.474673,alto,0
0.999994,-0.003595,0,5.564007,0.388661,bajo,0
-0.827581,0.561347,0.000007,2.299103,0.703817,alto,0
-0.99978,0.020978,-0.000034,2.269953,0.71661,bajo,0
0.924897,0.380217,-0.000005,4.266488,0.272938,alto,0
0.999994,-0.003434,-0.000002,3.787326,1.109499,bajo,0
0.999999,-0.001676,-0.000002,7.737048,0.567384,bajo,0
-0.999906,-0.013688,0.000011,35.763733,0.520539,bajo,0
0.033664,-0.999433,0,74.770325,1.63078,bajo,0
